PI4KB,Pi4kb
INTS6L,Ints6l
SLC36A4,Slc36a4
YOD1,Yod1
SIMC1,Simc1
ADAMTS18,Adamts18
PLCXD3,Plcxd3
RNF43,Rnf43
NUP133,Nup133
INTS15,Ints15
SLC49A3,Mfsd7a
KLHDC8A,Klhdc8a
MOB1A,Mob1a
CACNA2D4,Cacna2d4
RABL6,Rabl6
LRRC4C,Lrrc4c
THRAP3,Thrap3
FLYWCH1,Flywch1
CPEB2,Cpeb2
MPZL3,Mpzl3
RBM48,Rbm48
ZNF865,Zfp865
PPP2R2C,Ppp2r2c
HECTD2,Hectd2
NAPRT,Naprt
RFX7,Rfx7
CDC14A,Cdc14a
SLC30A8,Slc30a8
SERTM2,A730046J19Rik
ATP10B,Atp10b
LRRC49,Lrrc49
CREB3L2,Creb3l2
ZNF473,Zfp473
FRRS1L,Frrs1l
TMEM72,Tmem72
PHETA1,Pheta1
AMMECR1L,Ammecr1l
PRR35,A930017K11Rik
TOR4A,Tor4a
CADM2,Cadm2
KRT222,Krt222
MICAL3,Mical3
ZNF696,9130023H24Rik
SLC43A2,Slc43a2
SLC22A9,Slc22a30
SLC22A10,Slc22a30
SLC22A25,Slc22a30
SLC22A9,Slc22a19
SLC22A25,Slc22a19
SLC22A10,Slc22a19
SLC22A24,Slc22a19
TIGAR,Tigar
GLT1D1,Glt1d1
ZNF667,Zfp667
KATNIP,Katnip
SMTNL2,Smtnl2
MARCHF6,Marchf6
TMEM169,Tmem169
BAZ2B,Baz2b
SLCO4C1,Slco4c1
MFSD4A,Mfsd4a
ZNF641,Zfp641
RC3H2,Rc3h2
CDH7,Cdh7
DENND1A,Dennd1a
SMYD4,Smyd4
CD200R1,F630003A18Rik
DHRS9,Dhrs9
HLA-E,H2-T-ps
WDFY2,Wdfy2
TMEM229A,Tmem229a
TRIM65,Trim65
TSHZ3,Tshz3
IFI16,Ifi208
TBC1D32,Tbc1d32
KLHL4,Klhl4
PAXX,Paxx
OSBPL2,Osbpl2
BBS9,Bbs9
BRIP1,Brip1
TMEM52B,Tmem52b
MTMR9,Mtmr9
LRRC38,Lrrc38
PCDH11Y,Pcdh11x
PCDH11X,Pcdh11x
SLC17A4,Slc17a4
RAB39A,Rab39
RIGI,Rigi
RNFT2,Rnft2
EDA2R,Eda2r
FCRL1,Fcrl1
PRELID3A,Prelid3a
ZBTB38,Zbtb38
ADAMTS19,Adamts19
BLTP3B,Uhrf1bp1l
C9orf152,D630039A03Rik
CLPTM1L,Clptm1l
TMPRSS11B,Tmprss11b
COBLL1,Cobll1
EML6,Eml6
TMCC3,Tmcc3
NIBAN2,Niban2
ZCCHC7,Zcchc7
OACYLP,Oacyl
FAM171A1,Fam171a1
RAB11FIP4,Rab11fip4
FBXL21P,Fbxl21
ATAD5,Atad5
METTL14,Mettl14
AMN1,Amn1
MINAR2,Minar2
PM20D1,Pm20d1
SLC41A2,Slc41a2
ZNF668,Zfp668
DSEL,Dsel
ZNF804A,Zfp804a
ZNF574,Zfp574
CASKIN1,Caskin1
FAM184B,Fam184b
ISM1,Ism1
KLRB1,Klrb1f
OGFOD1,Ogfod1
DENND6A,Dennd6a
RAB8B,Rab8b
ARGLU1,Arglu1
VWC2,Vwc2
ARFGEF1,Arfgef1
LRP11,Lrp11
RBBP8,Rbbp8
ZBTB6,Zbtb6
CEACAM19,Ceacam19
PCID2,Pcid2
TRAPPC8,Trappc8
LMAN2L,Lman2l
SUN2,Sun2
TNS3,Tns3
INO80C,Ino80c
IFI44,Ifi44
C14orf180,A530016L24Rik
GRAMD1C,Gramd1c
DEUP1,Deup1
FAM161B,Fam161b
TAF2,Taf2
FLAD1,Flad1
MTMR12,Mtmr12
BRINP3,Brinp3
DNAJC27,Dnajc27
ARID5A,Arid5a
PLEKHS1,Plekhs1
TTLL1,Ttll1
TTC16,Ttc16
PHAF1,Phaf1
FAM78B,Fam78b
CPNE9,Cpne9
TMEM132C,Tmem132c
MYLK3,Mylk3
AGPS,Agps
PPWD1,Ppwd1
CPEB3,Cpeb3
CC2D1B,Cc2d1b
PLCH2,Plch2
KLHL26,Klhl26
CALHM6,Calhm6
MINDY2,Mindy2
RADIL,Radil
SLC17A2,Slc17a2
BEND7,Bend7
TRPM3,Trpm3
CNTLN,Cntln
ABCC4,Abcc4
JPH4,Jph4
LARP4,Larp4
UBXN10,Ubxn10
C14orf132,D430019H16Rik
GOLM2,Golm2
LRP12,Lrp12
TMEM198,Tmem198
NYAP2,Nyap2
MPHOSPH9,Mphosph9
HYKK,Hykk
WDR3,Wdr3
GEN1,Gen1
CNOT6L,Cnot6l
SIDT1,Sidt1
MIB1,Mib1
PAG1,Pag1
UGGT1,Uggt1
CES2,Ces2e
DLGAP2,Dlgap2
MIA3,Mia3
USP40,Usp40
TERB1,Terb1
VPS39,Vps39
NCEH1,Nceh1
HARBI1,Harbi1
ORAI2,Orai2
SLITRK6,Slitrk6
FSTL4,Fstl4
ZNF384,Zfp384
RBM15,Rbm15
PLEKHM1,Plekhm1
DLX6-AS1,Dlx6os1
TMEM260,Tmem260
SLC4A5,Slc4a5
CLVS2,Clvs2
GATAD2B,Gatad2b
PDE12,Pde12
RNF222,Rnf222
WDR19,Wdr19
RIMBP2,Rimbp2
SNX33,Snx33
NDUFS1,Ndufs1
ANKRD34B,Ankrd34b
EXPH5,Exph5
AGBL2,Agbl2
MAP3K20,Map3k20
FBXL9P,Fbxl9
ELAPOR2,Elapor2
TNRC6C,Tnrc6c
AGFG2,Agfg2
TNNI3K,Tnni3k
FPGT-TNNI3K,Tnni3k
PPIP5K1,Ppip5k1
RAB26,Rab26
SLC2A6,Slc2a6
CNTROB,Cntrob
CCNJ,Ccnj
TET2,Tet2
CPPED1,Cpped1
SLC35C1,Slc35c1
ZBTB7C,Zbtb7c
MAP1S,Map1s
TOM1L2,Tom1l2
MCPH1,Mcph1
OLFML2B,Olfml2b
ZSCAN22,Zscan22
ZBTB39,Zbtb39
TMC7,Tmc7
UAP1L1,Uap1l1
ACAD10,Acad12
FBXW12,Fbxw21
FBXW12,Fbxw16
FA2H,Fa2h
RIMS3,Rims3
BRINP2,Brinp2
LANCL3,Lancl3
GK5,Gk5
FSCN2,Fscn2
PGAP1,Pgap1
ANO4,Ano4
OLFM5P,Olfm5
PARM1,Parm1
C20orf173,6430550D23Rik
LAX1,Lax1
NUDT15,Nudt15
FGD5,Fgd5
CHTF8,Chtf8
DERPC,Chtf8
RELT,Relt
PCDH20,Pcdh20
UNC45B,Unc45b
SLC38A11,Slc38a11
SLC4A9,Slc4a9
DNAJC11,Dnajc11
ZC3HAV1L,Zc3hav1l
KDM7A,Kdm7a
LRCH1,Lrch1
TRIB1,Trib1
ANKRD33,Ankrd33
TMEM131L,Tmem131l
PRR18,Prr18
GPR179,Gpr179
FNDC9,Fndc9
CD300A,Cd300a
RPS6KL1,Rps6kl1
ZPLD1,Zpld1
FBXL13,Fbxl13
TMEM74,Tmem74
ARHGAP22,Arhgap22
RPS6KC1,Rps6kc1
GDPGP1,Gdpgp1
DGKI,Dgki
SLCO5A1,Slco5a1
FOXJ3,Foxj3
ITGBL1,Itgbl1
BUD13,Bud13
SCFD2,Scfd2
CCDC14,Ccdc14
SMCO3,Smco3
DSE,Dse
TBC1D24,Tbc1d24
ZNF23,Zfp612
MARCHF10,Marchf10
MRM1,Mrm1
SP8,Sp8
ATF7,Atf7
SKOR1,Skor1
SETX,Setx
PDZD4,Pdzd4
TRMT61A,Trmt61a
SERTAD4,Sertad4
ZMAT4,Zmat4
TOGARAM2,Togaram2
CEP95,Cep95
TRAM1L1,Tram1l1
CCDC28A,Ccdc28a
TACC1,Tacc1
SLC9A6,Slc9a6
ARSJ,Arsj
WDHD1,Wdhd1
SLC16A5,Slc16a5
HNRNPUL1,Hnrnpul1
FNDC7,Fndc7
MSRB3,Msrb3
ZNF592,Zfp592
LRRC58,Lrrc58
MFSD9,Mfsd9
THEMIS,Themis
HOOK3,Hook3
AMBRA1,Ambra1
FAM78A,Fam78a
LEFTY2,Lefty2
LINC00461,C130071C03Rik
ETFBKMT,Etfbkmt
ZNF764,Zfp764
ZNF764,Zfp747
ABAT,Abat
FERMT1,Fermt1
L3MBTL2,L3mbtl2
PIK3R5,Pik3r5
TMEM91,Tmem91
DDX12P,Ddx11
DDX11,Ddx11
DDX11L8,Ddx11
SENP5,Senp5
TMEM203,Tmem203
CFAP91,Cfap91
RPP38,Rpp38
PHETA2,Pheta2
CDIPTOSP,Cdiptos
CATSPERG,Catsperg1
RAVER2,Raver2
VPS18,Vps18
PLEKHM3,Plekhm3
GPR149,Gpr149
CEMIP,Cemip
SIGLEC10,Siglecg
SIGLEC11,Siglecg
SIGLEC16,Siglecg
POU6F2,Pou6f2
PIRT,Pirt
CCDC66,Ccdc66
NRN1L,Nrn1l
SMIM10L2B,Smim10l2a
SMIM10L2A,Smim10l2a
TTLL5,Ttll5
PRR14L,Prr14l
RREB1,Rreb1
NUMA1,Numa1
MARCHF3,Marchf3
DLEC1,Dlec1
SLC12A8,Slc12a8
SIPA1L1,Sipa1l1
RTBDN,Rtbdn
ARHGAP25,Arhgap25
TMEM220,Tmem220
TAFA1,Tafa1
EMC1,Emc1
NLRP4,Nlrp4a
FUBP3,Fubp3
YTHDC1,Ythdc1
SCAI,Scai
LRIG2,Lrig2
TXNL4B,Txnl4b
ZSWIM4,Zswim4
SPEF2,Spef2
TNRC6B,Tnrc6b
MAT2A,Mat2a
DNA2,Dna2
SSUH2,Ssu2
CLBA1,Clba1
INTU,Intu
FBXO40,Fbxo40
RASGEF1B,Rasgef1b
AKAP17A,Akap17b
AKAP17BP,Akap17b
ETNK2,Etnk2
IQCB1,Iqcb1
AAAS,Aaas
LARGE2,Large2
CFAP69,Cfap69
GREP1,1520401A03Rik
RNF152,Rnf152
ENGASE,Engase
KIAA0513,6430548M08Rik
SCART1,Scart1
KCTD8,Kctd8
BNC2,Bnc2
OSBPL8,Osbpl8
PHF21B,Phf21b
STXBP5L,Stxbp5l
SNX8,Snx8
ARHGAP29,Arhgap29
PIGZ,Pigz
PPFIA2,Ppfia2
TTC24,Ttc24
SDK2,Sdk2
LYPD6,Lypd6
TSKU,Tsku
PCIF1,Pcif1
RNF150,Rnf150
LYSET,Tmem251
LRRC31,Lrrc31
LIPI,Lipi
SAMD10,Samd10
ZBTB11,Zbtb11
SLC4A7,Slc4a7
NYAP1,Nyap1
RASAL2,Rasal2
SNX30,Snx30
ALDH4A1,Aldh4a1
STRIP1,Strip1
RIC3,Ric3
CCDC40,Ccdc40
FRY,Fry
NELL1,Nell1
BCORL1,Bcorl1
IRF2BP2,Irf2bp2
THSD7B,Thsd7b
DMXL1,Dmxl1
LCOR,Lcor
ZNF700,Zfp799
ZNF878,Zfp799
ZNF799,Zfp799
SNAPC4,Snapc4
MMP25,Mmp25
CENPT,Cenpt
DPY19L3,Dpy19l3
LRIG3,Lrig3
ZNF516,Zfp516
CADPS2,Cadps2
DPP9,Dpp9
EXOC3,Exoc3
CREB5,Creb5
GCHFR,Gchfr
AMDHD2,Amdhd2
CATSPERB,Catsperb
FAM20B,Fam20b
PDE8B,Pde8b
BPTF,Bptf
MAPK1IP1L,Mapk1ip1l
TDRD3,Tdrd3
RINL,Rinl
ANKRD52,Ankrd52
ALG6,Alg6
SRCAP,Srcap
PGGHG,Pgghg
P4HA3,P4ha3
ARL11,Arl11
TMPRSS11GP,Tmprss11g
ZKSCAN2,Zkscan2
SS18L1,Ss18l1
SLC66A3,Pqlc3
ATP13A5,Atp13a5
VWC2L,Vwc2l
NLRC3,Nlrc3
NLRP10,Nlrp10
GLYCTK,Glyctk
ACSM5,Acsm5
SLC1A7,Slc1a7
PPM1E,Ppm1e
HEATR5B,Heatr5b
ANKRD27,Ankrd27
SGMS1,Sgms1
SOX2-OT,Sox2ot
NEMP2,Nemp2
ZCCHC2,Zcchc2
HECW1,Hecw1
SPAG4,Spag4
TANC2,Tanc2
NRON,Nron
RASAL3,Rasal3
PNMA2,Pnma2
CWH43,Cwh43
HEATR5A,Heatr5a
MARS2,Mars2
PHF20,Phf20
C8orf34,A830018L16Rik
CLEC1A,Clec1a
NMNAT2,Nmnat2
RCCD1,Rccd1
IPCEF1,Ipcef1
TMEM215,Tmem215
LMOD3,Lmod3
LMBRD2,Lmbrd2
CACHD1,Cachd1
DGKH,Dgkh
BHLHA9,Bhlha9
VPS13C,Vps13c
ANKRD54,Ankrd54
NR1D1,Nr1d1
PPP1R15B,Ppp1r15b
AHDC1,Ahdc1
TMEM104,Tmem104
SERINC5,Serinc5
RHOV,Rhov
CCAR2,Ccar2
POGLUT1,Poglut1
YTHDF2,Ythdf2
UBN2,Ubn2
SLC35E2A,Slc35e2
SLC35E2B,Slc35e2
MAP3K13,Map3k13
GCN1,Gcn1
DENND11,Dennd11
COL6A6,Col6a6
TCP11L1,Tcp11l1
UBE2O,Ube2o
FAM169A,Fam169a
GTDC1,Gtdc1
DENND5B,Dennd5b
CFAP65,Cfap65
ISLR2,Islr2
CORO2B,Coro2b
ZZEF1,Zzef1
ATP8B5P,Atp8b5
GLIS3,Glis3
G2E3,G2e3
ARHGAP11B,Arhgap11a
ARHGAP11A,Arhgap11a
VPS13A,Vps13a
NALCN,Nalcn
ATG4D,Atg4d
FSD2,Fsd2
FAT3,Fat3
IDI2,Idi2
ZNF788P,A630089N07Rik
ZNF781,D130040H23Rik
TMEM88B,Tmem88b
SVOPL,Svopl
FCGBP,Fcgbp
PHF8,Phf8
NBEAL1,Nbeal1
TTC39A,Ttc39a
ARID4A,Arid4a
CCDC169,Ccdc169
STRIP2,Strip2
C1orf159,9430015G10Rik
RAPGEF5,Rapgef5
TMEM63C,Tmem63c
CFAP46,Cfap46
TMEM229B,Tmem229b
SLC25A44,Slc25a44
GALNT11,Galnt11
ZDHHC9,Zdhhc9
KIAA2026,9930021J03Rik
SNRNP200,Snrnp200
ZBTB26,Zbtb26
DISP3,Disp3
PHF20L1,Phf20l1
SDK1,Sdk1
CYB5R2,Cyb5r2
SH3TC2,Sh3tc2
SCARA3,Scara3
GBP7,Gbp7
SLC35F3,Slc35f3
POMT2,Pomt2
RAB11FIP3,Rab11fip3
FBXL18,Fbxl18
RNF214,Rnf214
ARHGEF10,Arhgef10
PGAP3,Pgap3
DCAF12L1,Dcaf12l1
DCAF12L2,Dcaf12l1
FREM2,Frem2
ZBTB37,Zbtb37
RBMS3,Rbms3
THUMPD1,Thumpd1
DNAI7,Casc1
CASS4,Cass4
MANEA,Manea
TARS3,Tarsl2
ZBTB41,Zbtb41
CCDC15,Ccdc15
SYT14,Syt14
HEATR3,Heatr3
PRR11,Prr11
MARF1,Marf1
MBTPS2,Mbtps2
CILP,Cilp
FITM2,Fitm2
LENG9,Leng9
IFFO1,Iffo1
SAMD12,Samd12
NHLRC3,Nhlrc3
RNF165,Rnf165
ZNF629,Zfp629
DNAH14,Dnah14
GLTPD2,Gltpd2
DCTD,Dctd
SLC9A7,Slc9a7
RALGAPB,Ralgapb
USP43,Usp43
ACTBL2,Actbl2
MAPKAP1,Mapkap1
CCDC158,Ccdc158
KMT5B,Kmt5b
MAPK4,Mapk4
GPRIN2,Gprin2
TAFA4,Tafa4
BEND6,Bend6
SOGA1,Soga1
KIF20B,Kif20b
FAM171B,Fam171b
TMEM117,Tmem117
ABI3BP,Abi3bp
MYSM1,Mysm1
TRAPPC11,Trappc11
TTC12,Ttc12
SLC26A11,Slc26a11
PPTC7,Pptc7
SLC26A9,Slc26a9
FASTKD1,Fastkd1
AKAIN1,Akain1
CLEC9A,Clec9a
NLGN3,Nlgn3
IPO8,Ipo8
KLHDC7A,Klhdc7a
SGTB,Sgtb
TRAV12-3,Trav7d-6
SH3RF2,Sh3rf2
KCTD3,Kctd3
DMXL2,Dmxl2
BLTP1,Bltp1
VSTM4,Vstm4
SH3RF3,Sh3rf3
FBXO38,Fbxo38
ZNF324,Zfp324
ZNF324B,Zfp324
HPDL,Hpdl
LINGO4,Lingo4
CCDC174,Ccdc174
RANBP3L,Ranbp3l
SUSD6,Susd6
DPY19L2P2,Dpy19l2
DPY19L2,Dpy19l2
DPY19L2P1,Dpy19l2
GALNT12,Galnt12
ZNF420,Zfp420
FNIP1,Fnip1
NIPAL4,Nipal4
MADD,Madd
SPTLC3,Sptlc3
TCP11L2,Tcp11l2
ALDH1L2,Aldh1l2
HHAT,Hhat
RHBDD3,Rhbdd3
ENDOV,Endov
TFCP2L1,Tfcp2l1
SNX32,Snx32
MDGA2,Mdga2
ZNF189,Zfp189
PRTG,Prtg
SHISA2,Shisa2
SMCR8,Smcr8
TMEM154,Tmem154
ANKDD1B,Ankdd1b
ZNF385B,Zfp385b
LMLN,Lmln
FEM1C,Fem1c
CCDC38,Ccdc38
OLFML2A,Olfml2a
FHIP1A,Fhip1a
CHD7,Chd7
UBTD2,Ubtd2
ZNF416,Zfp418
ZNF780B,Zfp780b
ZHX3,Zhx3
MAVS,Mavs
IFITM10,Ifitm10
NCAPH,Ncaph
FKBP15,Fkbp15
GFM2,Gfm2
DCAF5,Dcaf5
KLHL42,Klhl42
SLC35G1,Slc35g1
FNDC10,Fndc10
ANKRD16,Ankrd16
XYLT2,Xylt2
ATAD2B,Atad2b
PRSS35,Prss35
BOD1L1,Bod1l
ZNF827,Zfp827
PRRT3,Prrt3
CAMKK2,Camkk2
DGLUCY,Dglucy
CPED1,Cped1
SAMD5,Samd5
CRACD,Cracd
MICALL2,Micall2
SLC41A1,Slc41a1
SIRPG,Sirpb1a
SIRPB1,Sirpb1a
VASH2,Vash2
NKAIN3,Nkain3
C1orf115,C130074G19Rik
PTGR3,Zadh2
NEGR1,Negr1
NCOA7,Ncoa7
PTRH2,Ptrh2
EFR3B,Efr3b
TTC26,Ttc26
AMIGO3,Amigo3
KLHL20,Klhl20
TBC1D25,Tbc1d25
RND1,Rnd1
RIPOR2,Ripor2
FLVCR1,Flvcr1
LRIT2,Lrit2
MIAT,Miat
NCMAP,Ncmap
L3MBTL4,L3mbtl4
ABRA,Abra
ENOX1,Enox1
CHFR,Chfr
KIAA0930,5031439G07Rik
SLC25A29,Slc25a29
MBNL3,Mbnl3
KRT26,Krt26
FBXO46,Fbxo46
ZNF438,Zfp438
SPATA33,Spata33
APOL3,Apol8
APOL2,Apol8
APOL4,Apol8
APOL1,Apol8
RBM41,Rbm41
SPIN4,Spin4
CKAP4,Ckap4
PHLPP2,Phlpp2
ZNF605,Zfp605
PPARGC1B,Ppargc1b
PLA2G3,Pla2g3
TMCO3,Tmco3
MICAL2,Mical2
C18orf25,8030462N17Rik
TAF6L,Taf6l
KMT2C,Kmt2c
DENND2A,Dennd2a
TECRL,Tecrl
LETM2,Letm2
PHLDB2,Phldb2
SPG11,Spg11
GJD4,Gjd4
RSBN1,Rsbn1
RAB3GAP1,Rab3gap1
ARHGAP1,Arhgap1
PCNX2,Pcnx2
PLPPR1,Plppr1
PIK3C3,Pik3c3
EXOC1,Exoc1
CCDC186,Ccdc186
MALT1,Malt1
WSCD2,Wscd2
SIK2,Sik2
TYW3,Tyw3
ZC3H7A,Zc3h7a
MAP7D3,Map7d3
TBCK,Tbck
CCBE1,Ccbe1
SENP1,Senp1
SLC25A21,Slc25a21
LRRC14,Lrrc14
PWWP3B,Pwwp3b
HMBOX1,Hmbox1
CCDC85A,Ccdc85a
LACC1,Lacc1
PAMR1,Pamr1
DYNC2I1,Dync2i1
HID1,Hid1
TRAPPC12,Trappc12
UTP14C,Utp14b
UTP14A,Utp14b
PLEKHA7,Plekha7
NRROS,Nrros
DHTKD1,Dhtkd1
ZNF770,Zfp770
DHX33,Dhx33
TMEM245,Tmem245
ZDHHC17,Zdhhc17
PISD,Pisd
SLFN13,Slfn9
SLFN11,Slfn9
WDR41,Wdr41
TIMD4,Timd4
TUT4,Tut4
C3orf18,6430571L13Rik
CNST,Cnst
CLSPN,Clspn
LRRN4,Lrrn4
KCNH8,Kcnh8
ELMOD2,Elmod2
ELMOD3,Elmod3
ENPP6,Enpp6
ARL4C,Arl4c
PPIG,Ppig
ARHGAP20,Arhgap20
DCAF12L2,Dcaf12l2
TMEM184B,Tmem184b
ZNF526,Zfp526
PLPP7,Plpp7
KLHL3,Klhl3
ST6GAL2,St6gal2
UTP6,Utp6
FAM166B,Fam166b
TTC34,Ttc34
RFX6,Rfx6
CYP4F22,Cyp4f39
LRIF1,Lrif1
XPNPEP3,Xpnpep3
DCAF1,Dcaf1
CD109,Cd109
LRRC25,Lrrc25
PLAC8,Plac8
SLC36A1,Slc36a1
SMOX,Smox
SERPINB1,Serpinb1b
SERPINB1,Serpinb1c
PKNOX2,Pknox2
THTPA,Thtpa
WNT9A,Wnt9a
FLNB,Flnb
PDE2A,Pde2a
HMGCLL1,Hmgcll1
HACE1,Hace1
NEMP1,Nemp1
SUOX,Suox
ODAD1,Odad1
PHF3,Phf3
CRACR2B,Cracr2b
BMS1,Bms1
PARP16,Parp16
SIDT2,Sidt2
ARRDC1,Arrdc1
PHACTR2,Phactr2
MFSD4B,Mfsd4b5
SCML4,Scml4
ZFC3H1,Zfc3h1
MARCHF9,Marchf9
ITPK1,Itpk1
FAM120A,Fam120a
MARVELD2,Marveld2
FARP1,Farp1
SPRYD3,Spryd3
EIF2B5,Eif2b5
ANKS1A,Anks1
SLC37A1,Slc37a1
LPGAT1,Lpgat1
NUP188,Nup188
TNKS1BP1,Tnks1bp1
DENND4B,Dennd4b
ZYG11A,Zyg11a
KDM4A,Kdm4a
IQCC,Iqcc
THEMIS2,Themis2
MAN1C1,Man1c1
SH2D5,Sh2d5
FBXO2,Fbxo2
PHF13,Phf13
ARHGEF16,Arhgef16
SAMD11,Samd11
TET3,Tet3
VPS33B,Vps33b
GALNT18,Galnt18
MOSMO,Mosmo
ATXN2L,Atxn2l
SETD1A,Setd1a
EDC4,Edc4
SPIRE2,Spire2
NTM,Ntm
FOXRED1,Foxred1
PCED1B,Pced1b
MAB21L3,Mab21l3
FRMPD1,Frmpd1
ZNF845,Zfp759
WDR24,Wdr24
MEGF8,Megf8
SIK3,Sik3
SBSN,Sbsn
TPTE,Tpte
TPTE2,Tpte
MYPOP,Mypop
IL17C,Il17c
IL17D,Il17d
CPT1C,Cpt1c
MAP3K7CL,Map3k7cl
ADH6,Adh6b
AGO1,Ago1
AGO2,Ago2
AGO3,Ago3
ST18,St18
SSX4B,Ssxb2
SSX4,Ssxb2
SSX1,Ssxb3
SSX5,Ssxb3
SSX8P,Ssxb3
SSX6P,Ssxb3
SSX2B,Ssxb3
SSX2,Ssxb3
SSX3,Ssxb3
SSX4B,Ssxb3
SSX9P,Ssxb3
SSX4,Ssxb3
SSX7,Ssxb3
SSX5,Ssx9
SSX9P,Ssx9
SSX6P,Ssx9
SSX2B,Ssx9
SSX8P,Ssx9
SSX2,Ssx9
SSX1,Ssx9
SSX4B,Ssx9
SSX4,Ssx9
SSX3,Ssx9
SSX7,Ssx9
SSX7,Ssxb5
SSX5,Ssxb5
SSX1,Ssxb5
SSX6P,Ssxb5
SSX2,Ssxb5
SSX8P,Ssxb5
SSX9P,Ssxb5
SSX2B,Ssxb5
SSX4,Ssxb5
SSX4B,Ssxb5
SSX6P,Ssxb6
SSX1,Ssxb6
SSX3,Ssxb6
SSX4,Ssxb8
SSX3,Ssxb8
SSX2B,Ssxb8
SSX9P,Ssxb8
SSX1,Ssxb8
SSX8P,Ssxb8
SSX4B,Ssxb8
SSX7,Ssxb8
SSX2,Ssxb8
SSX5,Ssxb8
SSX6P,Ssxb8
SSX8P,Ssxb9
SSX4,Ssxb9
SSX2,Ssxb9
SSX4B,Ssxb9
SSX3,Ssxb9
SSX2B,Ssxb9
SSX9P,Ssxb9
SSX7,Ssxb9
SSX6P,Ssxb9
SSX5,Ssxb9
SSX4B,Ssxb10
SSX2B,Ssxb10
SSX1,Ssxb10
SSX9P,Ssxb10
SSX6P,Ssxb10
SSX3,Ssxb10
SSX4,Ssxb10
SSX5,Ssxb10
SSX7,Ssxb10
SSX8P,Ssxb10
SSX2,Ssxb10
SSX3,Ssxa1
SSX5,Ssxa1
SSX6P,Ssxa1
SSX1,Ssxa1
SSX9P,Ssxa1
SSX4,Ssxa1
SSX4B,Ssxa1
SSX8P,Ssxa1
SSX7,Ssxa1
SSX2B,Ssxa1
SSX2,Ssxa1
RTP3,Rtp3
ADGRG2,Adgrg2
KIF18A,Kif18a
KIF18B,Kif18b
KIF19,Kif19a
TENM4,Tenm4
KIF26A,Kif26a
KIF26B,Kif26b
CMTM1,Cmtm1
CMTM2,Cmtm2a
CMTM3,Cmtm3
CMTM5,Cmtm5
CMTM6,Cmtm6
CMTM7,Cmtm7
CMTM8,Cmtm8
CA9,Car9
PRSS50,Prss50
CMTM2,Cmtm2b
PCDHA3,Pcdha3
PCDHA10,Pcdha9
PHOSPHO1,Phospho1
SLC24A4,Slc24a4
SMG5,Smg5
TGFBRAP1,Tgfbrap1
VGLL2,Vgll2
ALS2CL,Als2cl
KLK15,Klk15
KLK14,Klk14
FKRP,Fkrp
RBM11,Rbm11
DISC1,Disc1
MGRN1,Mgrn1
YEATS2,Yeats2
DND1,Dnd1
XKR6,Xkr6
FAM193A,Fam193a
DLEU7,Dleu7
ERICH5,Erich5
FAM83A,Fam83a
FBXO45,Fbxo45
NAT8L,Nat8l
SFMBT2,Sfmbt2
CFAP157,Cfap157
LTV1,Ltv1
DENND1B,Dennd1b
SERAC1,Serac1
ZSWIM9,Zswim9
FAM13B,Fam13b
PPIL2,Ppil2
CLDND1,Cldnd1
SEC22C,Sec22c
SEC22A,Sec22a
LRRC3,Lrrc3
TRIM63,Trim63
LRRC10,Lrrc10
FPR2,Fpr-rs6
FPR2,Fpr-rs7
RPL17,Rpl17
H2AC18,H2ac19
H2AC19,H2ac19
H2AC1,H2ac1
H2AC15,H2ac6
H2AC8,H2ac6
H2AC4,H2ac6
H2AC8,H2ac7
H2AC4,H2ac7
H2AC17,H2ac7
H2AC4,H2ac8
H2AC16,H2ac8
H2AC8,H2ac8
H2AC4,H2ac11
H2AC12,H2ac12
H2AC1,H2ac15
H2AC11,H2ac22
H2AC8,H2ac22
H2AC4,H2ac22
H2AC8,H2ac23
H2AC6,H2ac23
H2AC4,H2ac23
H2AC8,H2ac4
H2AC7,H2ac4
H2AC4,H2ac4
H2AC14,H2ac10
H2AC21,H2ac21
H2AC20,H2ac20
H3C13,H3c2
H3C10,H3c2
H3C14,H3c2
H3C15,H3c2
H3C13,H3c3
H3C14,H3c3
H3C15,H3c4
H3C14,H3c4
H3C13,H3c4
H3C1,H3c4
H3C15,H3c6
H3C14,H3c6
H3C11,H3c6
H3C13,H3c6
H3C15,H3c7
H3C14,H3c7
H3C11,H3c10
H3C3,H3c10
H3C2,H3c10
H3C6,H3c10
H3C1,H3c10
H3C10,H3c10
H3C8,H3c10
H3C2,H3c11
H3C8,H3c11
H3C7,H3c11
H3C10,H3c11
H3C3,H3c11
H3C11,H3c11
H3C1,H3c11
H3C14,H3c13
H3C13,H3c13
H3C15,H3c13
H3C2,H3c13
H3C14,H3c14
H3C13,H3c14
H3C3,H3c14
H3C15,H3c14
H3C13,H3c15
H3C8,H3c15
H3C14,H3c15
H3C15,H3c15
H2BC1,H2bc1
H2BC14,H2bc3
H2BC15,H2bc3
H2BC3,H2bc3
H2BC8,H2bc6
H2BC5,H2bc6
H2BC7,H2bc6
H2BC6,H2bc6
H2BC8,H2bc7
H2BC13,H2bc7
H2BC4,H2bc8
H2BC6,H2bc8
H2BC5,H2bc8
H2BC8,H2bc8
H2BC9,H2bc9
H2BC13,H2bc11
H2BC12,H2bc12
H2BC6,H2bc13
H2BC13,H2bc13
H2BC5,H2bc14
H2BC15,H2bc14
H2BC13,H2bc15
H2BC14,H2bc15
H2BC17,H2bc22
